"","Hours","RH","Temp","P308","P355","HONO","OH","HONO_LOD","OH_LOD","HONO.rate.change","HONO_OH","HONO_NOx","Isoprene","O3","NO","NO2","NOx","JNO2","dHONOdt","HONO_error","OH_error","Jcorr","Limonene","JHONO_RACM","JHONO","TempK","JNO2_TUV","JHONO_TUV","k_OH_NO_LPL","k_OH_NO_HPL","k_OH_NO","k_HONO_OH","gamma_NO2_ground","gamma_NO2_aerosol","JNO2_NO2","gamma_HONO_ground","gamma_HONO_aerosol","v_HONO","v_NO2","H","P_OH_NO","P_NO2het_ground","P_NO2het_ground_light","P_NO2het_aerosol","P_NO2het_aerosol_light","P_emis","P_soil","P_NO2het","production","L_photo","L_OH","L_uptake_ground","L_aerosol","L_ground_light","L_aerosol_light","L_dilution","L_het","loss","unknown","HONO_pss","HONO_OH_meas","delta","HONO_model"
"1",0,88.91319317,16.44697376,2.644092072,0.820319817,0.020986269,359160,9.028333333,429333.3333,2.210973335,0.000141068,0.012307685,2.693333333,17.06977373,0.035978633,1.351200391,1.387179024,1.08e-06,-755783113679998848,2.379613999,67476.10852,0.000961476828408435,2.693333333,0,0,289.59697376,0.001123272,0,1.8874869575414e-11,3.61272766120047e-11,7.72375041598519e-12,6.13549137621976e-12,1.31868534397236e-08,2.30769935195162e-07,35898.691988088,1.60916350579572e-05,0,0.391970754054092,0.396239502341654,200,0.00359305076849667,4.2843628877872e-06,1.42213824719015e-17,4.81859073444319e-07,7.1879530292799e-11,0,0,0.00476629384077603,0.00359781706233744,0,0.00793304309765912,0.000153456550212177,2.57524785413539e-06,4.1884962651798e-16,0,5975.25714583333,0.000156031798066731,0.00808907489572586,-30722890.8035978,0.0452922128906233,1437.41568493151,-0.00449125783338841,20
"2",1,89.80498106,16.02126625,2.649475708,0.802150361,0.022690666,351780,9.054705882,430588.2353,1.010052592,0.000135485,0.012972615,2.61,15.38419861,0.03631655,1.427890017,1.464206567,8.48e-07,1.03143288852e+18,2.602872289,65152.97006,0.000754937361565142,2.61,0,0,289.17126625,0.001123272,0,1.8947200632791e-11,3.61325916192811e-11,7.74050746114817e-12,6.14360606541962e-12,1.03541219600792e-08,1.81197134301387e-07,29786.9280666336,1.60915145245639e-05,0,0.391682549623828,0.395948159227814,200,0.00355998086496216,4.56957721820016e-06,7.34256633483571e-18,5.08833381429829e-07,5.95981640127756e-11,0,0,0.00507847019780134,0.00356505933515996,0,0.00778031187009593,0.000153343718177729,2.57335435102855e-06,2.04637841669033e-16,0,6460.53684722222,0.000155917072528962,0.00793622894262489,41928166.196435,0.0457562746121419,1586.75986013986,-0.00437116960746493,19.9956288303925
"3",2,90.50795116,15.9528446,2.568270309,0.804363229,0.021679544,373920,9.543888889,453666.6667,-1.011122074,0.000111946,0.012159248,2.413333333,15.39128709,0.030441163,1.470799339,1.501240502,9.16e-07,-611890589520001152,2.471120242,57137.79611,0.000815474791501969,2.413333333,0,0,289.1028446,0.001123272,0,1.89588617941096e-11,3.61334466742644e-11,7.74320536274732e-12,6.14491352706723e-12,1.11844053248026e-08,1.95727093184045e-07,33142.4039852904,1.60914208673886e-05,0,0.391636208311745,0.395901313236759,200,0.00317294989453737,4.74318006034709e-06,9.60595027164383e-18,5.24062250836072e-07,6.63040085311937e-11,0,0,0.0052673086152013,0.00317821720315257,0,0.00827174183774752,0.000153325575554048,2.57304988860816e-06,2.59906538617168e-16,0,6172.64794444444,0.000155898625442916,0.00842764046319043,-24873601.2031783,0.038358908640715,1426.28578947368,-0.00524942326003786,19.9903794071325
"4",3,91.16982475,15.7616035,2.608671257,0.803307637,0.021680883,322260,9.414705882,447588.2353,-0.530770282,0.000108602,0.01217082,2.036666667,14.96694975,0.024405737,1.563799789,1.588205526,9.09e-07,810309240000880,2.341008303,45951.86993,0.000809242997243766,2.036666667,0,0,288.9116035,0.001123272,0,1.89915079317115e-11,3.61358377663897e-11,7.75075292187572e-12,6.14857269449821e-12,1.1098934978434e-08,1.94231362122595e-07,34968.7526017446,1.60913337543618e-05,0,0.391506653499628,0.395770347511005,200,0.00219454617487287,5.07829624254444e-06,1.0050646144119e-17,5.5701502733715e-07,6.99346215261698e-11,0,0,0.00563538120451317,0.00220018155607738,0,0.00713318053150437,0.000153274854845104,2.57219871349256e-06,2.55764803050064e-16,0,6173.0291875,0.000155847053558853,0.00728902758506323,32939.3977998542,0.0307653250212923,1655.02923664122,-0.00508884602898585,19.9852905611035
"5",4,91.84481,15.53644386,2.568917421,0.823877389,0.021840352,312420,9.613888889,457166.6667,0.658404883,0.000103974,0.012738743,1.703333333,13.95658601,0.012986431,1.344302859,1.35728929,8.73e-07,96504260040000880,2.148887854,43531.59733,0.000777193769630152,1.703333333,0,0,288.68644386,0.001123272,0,1.90300440432693e-11,3.61386551754344e-11,7.75965202038808e-12,6.15288986552534e-12,1.06593731971099e-08,1.86539030949423e-07,28869.9793393122,1.60912459625759e-05,0,0.391354065860833,0.395616098120116,200,0.0011333743692669,4.39610651986132e-06,7.70717534319063e-18,4.78645066592367e-07,5.77150750186652e-11,0,0,0.00487480930153642,0.00113824917856844,0,0.00692022906643473,0.000153215116784516,2.57119621270568e-06,2.28151692131682e-16,0,6218.43355555556,0.00015578631299745,0.00707601537943218,3922937.39886179,0.0163777001944072,1719.71275590551,-0.00593776620086374,19.9793527949026
"6",5,92.49241335,15.39257925,2.557619482,0.789938997,0.022337561,280440,9.750555556,463777.7778,0.497209296,0.000112958,0.012977176,2.695,13.38122499,0.01640177,1.388460514,1.404862284,9.04e-07,300890998439999424,2.169147183,38903.32396,0.0848030018761726,2.695,0,1.47896435272045e-07,288.54257925,1.066e-05,1.744e-06,1.90547232056423e-11,3.61404566105710e-11,7.76534537606771e-12,6.15565341774014e-12,1.10378847310279e-08,1.93162982792988e-07,30877.1402945376,1.60911627073347e-05,1.93348378711593e-07,0.391256539604549,0.395517509756428,200,0.00128586078907042,4.57138573780129e-06,8.89892326415776e-18,4.9424440040317e-07,6.17122842492356e-11,0,0,0.00506569185049761,0.00129092648092091,0.000532427166979362,0.00621464920009576,0.000153176935255181,2.57055546520189e-06,2.55051133620806e-16,8.50108812065481e-13,6360.00000694444,0.000155747491570747,0.00690282385864587,12231341.398709,0.0190580440936648,1959.4351754386,-0.00561189737772496,19.9737408975249
"7",6,93.22601285,15.22474142,2.569772242,0.799583569,0.021136837,329640,9.846111111,468111.1111,-1.200724151,9.31e-05,0.012205992,0.881,13.21113959,0.062038369,1.422240287,1.484278656,7.24e-06,-726630135840000896,1.830998838,42501.13335,0.00894379246448425,0.881,7.1e-07,1.14033353922174e-06,288.37474142,0.0008095,0.0001275,1.90835708807764e-11,3.61425594812027e-11,7.77199468701494e-12,6.15888253727239e-12,8.84007582440728e-08,1.54701326927127e-06,253306.684075848,1.60910695278544e-05,1.49078401107786e-06,0.391142731096933,0.395402461819934,200,0.00572183424830738,4.71836968929014e-06,4.71836968929013e-15,5.06121579701361e-07,5.06121579701361e-10,0,0,0.00522499739528957,0.00572705924570267,0.00410520074119827,0.00730877054251129,0.000153132379224449,2.56980774330685e-06,1.32020022903674e-13,5.24798396611771e-11,6018.12720138889,0.000155702239579616,0.0115696735232892,-29537810.4057271,0.0501300915000005,1577.37589552239,-0.00584261427758651,19.9678982832473
"8",7,93.22686443,15.91937231,2.524604303,0.814934196,0.020512606,329640,10.06529412,478705.8824,0.697814508,0.000108972,0.010644488,1.23,14.84514328,0.155648656,1.580839217,1.736487873,3.79e-05,-377759631960000576,2.100685152,49804.44045,0.013473160327053,1.23,9.55e-06,5.85408816210451e-06,289.06937231,0.002813,0.0004345,1.89645701255909e-11,3.61338650534856e-11,7.74452566100576e-12,6.14555347216739e-12,4.62760875338447e-07,8.09831531842283e-06,1473879.63557778,1.60910694203787e-05,7.65318280251735e-06,0.39161353586067,0.395878393871889,200,0.0143048268165215,5.25089202356166e-06,7.53242852054698e-13,5.63238081176089e-07,2.94844244151572e-09,0,0,0.00581707930042212,0.014310643895822,0.0210747173835763,0.00729295288763493,0.000153316699289452,2.5729009306046e-06,1.89613008884882e-11,1.41202678377833e-09,5840.39476388889,0.000155891031208142,0.0285235613024193,-15356082.6143107,0.0504265125749108,1530.79149253731,-0.0142129174065974,19.9536853658407
"9",8,92.33574116,16.98598533,2.554178568,0.806549295,0.020492899,455100,10.080625,478937.5,0.067064162,8.99e-05,0.009282257,1.46075,14.61119116,0.26512693,1.862233151,2.127360081,7.89e-05,-11925888119999706,2.425400936,94480.00907,0.0155467980295566,1.46075,2.03e-05,1.24514305418719e-05,290.13598533,0.005075,0.0008009,1.87838346385307e-11,3.61205593070859e-11,7.70260438954299e-12,6.12526638286253e-12,9.63372904068694e-07,1.68590258212021e-05,3614482.81210194,1.60911827623537e-05,1.62780387741096e-05,0.39233536172005,0.396608080758832,600,0.0334580612659678,2.04591085410508e-06,2.64790266943095e-12,6.64719044349224e-07,7.24396859104333e-09,0,0,0.00271787651494802,0.0334607791424827,0.0448251499507389,0.0100353914310266,5.11997647044666e-05,2.57764332650073e-06,5.6583764160772e-11,6.26383744295815e-09,5834.78374305555,5.37837284521744e-05,0.0549143251102177,-484792.233460767,0.060987479203201,1107.72427027027,-0.021453545967735,19.932231819873
"10",9,88.15115368,18.54053569,2.784415069,0.819999459,0.019833063,703560,9.264375,440875,-0.686592602,5.77e-05,0.008093808,2.678,16.55333003,0.371678235,2.145101361,2.516779596,0.000121061,-399306353759999104,2.083654784,133336.6192,0.017474162817552,2.678,3e-05,1.94312690531178e-05,291.69053569,0.006928,0.001112,1.85246636139344e-11,3.61012627092426e-11,7.64205782826914e-12,6.09608253648955e-12,1.47816080024664e-06,2.58678140043163e-05,6388327.65025492,1.60917396142393e-05,2.54029406511274e-05,0.393385025190264,0.397669175564406,600,0.0719417653897699,2.255895628073e-06,1.0546687426701e-11,7.67736620757859e-07,1.28374258350231e-08,0,0,0.00303648022135331,0.0719448018699913,0.069952568591224,0.0154402553857413,5.13367457873295e-05,2.58453961550004e-06,1.9566230101929e-10,1.50386903642653e-08,5646.91377083333,5.39365197554948e-05,0.0854467604967208,-16231965.6719448,0.0842480223035793,693.463741258741,-0.0135019586267295,19.9187298612463
